assembly_models_name,code_form_no,ata_code,reference_amp,description,category_code,issue_date,directive_no,is_rii,show_in_c_of_a,estimated_man_hours,note,applicability
BELL 429,ASB 429-19-47 Rev C,29,ASB 429-19-47 Rev B Part II,"TAIL ROTOR GEARBOX SUPPORT RETAINING RIVETS, INSPECTION OF.",SB*,06-May-2025,ASB 429-19-47 Rev C Part II,,,0:00, ,Serial numbers 57001 and subsequent
BELL 429,429-19-48,20,ASB 429-19-48,"TRANSMISSION ASSEMBLY CHIP DETECTOR, ONE-TIME INSPECTION OF.",SB,18-Sep-2019,ASB 429-19-48,,,0:00, ,"Serial numbers 57001 through 57344, 57346 through 57358."
BELL 429,429-19-49 Rev. A,72,S.B. No. 28389R1.,"ENGINE TRIM VALUES, ADJUSTMENT OF.",SB,26-Sep-2019,ASB 429-19-49 Rev. A,,,0:00, ,Helicopters equipped with engine serial numbers listed in Table 1 of the Pratt & Whitney Canada Service Bulletin S.B. No. 28389R1.
BELL 429,429-19-50,27,ASB 429-19-50 RB,"DIRECTIONAL CONTROL BELLCRANK BEARING STAKING, ONE-TIME INSPECTION OF.",SB,19-Dec-2019,ASB 429-19-50 RB,,,0:00, ,"Serial numbers 57001 through 57210, 57212 through 57344, 57346 through 57371, 57374 through 57377 and 57380"
BELL 429,429-20-51,20,ASB 429-20-51,"ROTORCRAFT FLIGHT MANUAL SUPPLEMENT TEMPORARY REVISION FOR DISPLAY UNIT MAP MODE, INTRODUCTION OF.",SB,04-Mar-2020,ASB 429-20-51,,,0:00, ,"57001 through 57369, 57371, and 57373."
BELL 429,ASB 429-20-51 RB,31,ASB 429-20-51 RB,"ROTORCRAFT FLIGHT MANUAL SUPPLEMENT BHT-429-FMS-19 REVISION 4 FOR DISPLAY UNIT MAP MODE, INTRODUCTION OF.",SB,17-Jul-2021,ASB 429-20-51 RB,,,0:00, ,"57001 through 57369, 57371, and 57373. [Serial number 57370, 57372, 57374 and subsequent are not affected by this bulletin.]"
BELL 429,429-20-52,25,ASB 429-20-52,"EMERGENCY FLOTATION SYSTEM (EFS) SUPPLY HOSE, ONE-TIME INSPECTION OF.",SB,30-Mar-2020,ASB 429-20-52,,,0:00, ,Serial numbers 57001 through 57389.
BELL 429,429-20-53,62,ASB 429-20-53,"MAIN ROTOR EXPANDABLE BLADE BOLT 429310-004-101, ONE-TIME INSPECTION OF.",SB,21-Apr-2020,ASB 429-20-53,,,0:00, ,"Serial numbers 57001 through 57384, 57386, 57388 and 57389."
BELL 429,ASB 429-21-54,62, ,MAIN ROTOR TRANSMISSION DEBRIS PAN ASSEMBLY 429-040-407-101.,SB,16-Mar-2021,ASB 429-21-54,,,0:00, ,"Serial numbers 57001 through 57401, 57404 through 57406, 57409 through 57412, 57416, 57417 and 57420 through 57422."
BELL 429,ASB 429-21-55,62,ASB 429-21-55,"MAIN ROTOR PITCH CHANGE LINK UPPER RETENTION BOLT 20-114C5P47AD, ONE-TIME INSPECTION OF.",SB,02-Sep-2021,ASB 429-21-55,,,0:00, ,"Serial numbers 57001 through 57400, 57402 through 57406, 57409 through 57412."
