,2019-01,20,"Supersedes AD CF-2014-26, issued 15 August 2014.","Standard Practices – Helicopter External Transport System (HETS™) - Unapproved Parts, Inadequate Service Life Limits and Maintenance Requirements",AD,08-Jan-2019,CF-2019-01,,,0:00, ,"HETS™ certified under Transport Canada Supplemental Type Certificate (STC) SH98-35, Issue 1 and Issue 2 installed on the following helicopter models:Bell Helicopter Textron Canada Ltd. model 206B, 206L, 206L-1, 206L-3, 206L-4 and 407.",Select,Edit,Delete,View
,2019-08-10,62,ASB 407-14-106,"Joint Aircraft Service Component (JASC) Code: 6300, Main Rotor Drive System.",AD,20-May-2019,FAA AD 2019-08-10,,,0:00, ,"This AD applies to Bell Model 206A, 206B, 206L, 206L-1, 206L-3, 206L-4, and 407 helicopters, certificated in any category.",Select,Edit,Delete,View
,2019-08-10,63,ASB 407-14-106,"Joint Aircraft Service Component (JASC) Code: 6300, Main Rotor Drive System.",AD,20-May-2019,FAA AD 2019-08-10,,,0:00, ,"This AD applies to Bell Model 206A, 206B, 206L, 206L-1, 206L-3, 206L-4, and 407 helicopters, certificated in any category.",Select,Edit,Delete,View
,24-020,24,SB 24-020 R-1,ELECTRICAL POWER - DC ELECTRICAL LOAD DISTRIBUTION CHANGE LDG LIGHT RH CIRCUIT-BREAKER FROM NON ESSENTIAL BUS TO GENERATOR BUS,SB$,30-Jun-2008,SB 24-020 R-1,,,0:00, ,"PC-12, PC-12/45 and PC-12/47 aircraft from MSN 101 up to and including MSN 999, except for aircraft MSN 545.",Select,Edit,Delete,View
,24-022,24,SB 24-022,Electrical power-DC Power-Replacement of the Generator Control Unit for aircraft with the second battery option.,SB,13-Jun-2003,SB 24-022,,,0:00, ,All PC-12 and PC-12/45 AIRCRAFT FROM MSN 101 thru MSN 507 with the second battery installed.,Select,Edit,Delete,View
,24-023,24,SB 24-023 Rev-1,Electrical Power -DC Generation System-Second Generator Wiring-Modification,SB$,18-Aug-2005,SB 24-023 Rev-1,,,0:00, ,PC-12 and PC-12/45 Aircraft MSN 101 thr MSN 600.This modification incorporated on aircraft MSN 601 and Subsequent.,Select,Edit,Delete,View
,24-024,24,SB 24-023 Rev-1,Electrical Power-AC Generator system static investors-Replacement.,SB$,08-Aug-2006,SB 24-024 Rev-1,,,0:00, ,PC-12 and PC-12/45 aircraft MSN 101 thru MSN 683.This modification incorporated in aircraft MSN 684 and subsequent.,Select,Edit,Delete,View
,24-025,24,SB 24-025,ELECTRICAL POWER - EXTERNAL POWER INTRODUCTION OF BATTERY AND EXTERNAL POWER JUNCTION BOX P/N 974.03.38.142,SB$,24-Sep-2009,SB 24-025,,,0:00, ,"PC-12/47E aircraft MSN 545, 1001 thru 1180, with Battery and External Power Junction Box (BEPJB) P/N 974.03.38.141 or P/N 974.03.38.135. Battery and External Power Junction Box (BEPJB) P/N 974.03.38.141 or P/N 974.03.38.135 held as spare.",Select,Edit,Delete,View
,407-00-34,72,CEB A-72-6032(Cancelled),"Rolls-Royce Allison 250-C47B Engine Self Sealing Magnetic Chip Detectors, Inspection of",SB,31-May-2001,ASB 407-00-34 Rev.A,,,0:00, ,All model 407 helicopters with self-sealing magnetic chip detectors as specified in Rolls-Royce Allison Alert CEB A-72-6032.,Select,Edit,Delete,View
,407-00-37,72,CEB A 72-6033 R2,"Rolls-Royce 250-C47B Engine, Replacement of Compressor Scroll 23066737 and 23072848(Issue Dt: 30/10/2000)",SB,30-Oct-2000,ASB 407-00-37,,,0:00, ,All 407 helicopters with Rolls Royce 250-C47B engines configured with compressor scroll 23066737 or 23072848.,Select,Edit,Delete,View
,407-01-39,53,ASB 407-01-39'A',"Bracket 407-040-321-101/-103, Inspection of",SB*,31-May-2001,ASB 407-01-39'A',,,0:00, ,"407 helicopters, S/N 53000 thru 53442 with flywheel 407-040-316-101 installed.",Select,Edit,Delete,View
,407-01-40,52,CAB-100-58,"Rescue Hoist, BL-16600 Series, Breeze Eastern Customer Alert Bulletin CAB-100-58",SB,06-Mar-2001,ASB 407-01-40,,,0:00, ,All Bell 407 helicopters with Breeze Eastern BL-16600 series rescue hoists installed and all spare BL-16600 series Rescue Hoists.,Select,Edit,Delete,View
,407-01-48,53,ASB 407-01-48'C',"Tailboom Assembly 407-030-801-101/-105/-107 Modification of, and New Airworthiness Limitation/ Inspection Schedule, Introduction of",SB,27-Aug-2007,ASB 407-01-48'C',,,0:00, ,"Bell 407, Serial Number 53000 through 53475.",Select,Edit,Delete,View
,407-02-53,53,ASB 407-02-53,"Tailboom Assembly 407-030-801-105/-107 and Tail Rotor Gearbox Support Casting 406-030-121-105, Inspection of",SB*,06-May-2002,ASB 407-02-53,,,0:00, ,"Model 407 helicopters serial number 53000 through 53475,",Select,Edit,Delete,View
,407-03-58,73,"CEB A-73-6040 R1, A-73-6030 R3(superceded by 73-6044)",Rolls-Royce Corporation 250-C47 Series,SB*,13-Jun-2003,ASB 407-03-58,,,0:00, ,"All Rolls-Royce Model 250-C30R/3 engines installed on Bell OH-58D aircraft, all Model 250-C30R/3M engines installed on Boeing AH/MH-6M aircraft, all Model 250-C47B engines installed on Bell 407 aircraft and all Model 250-C47M engines installed on MD 600N aircraft. All Rolls-Royce Model 250—C3OR/3, —C3OR/3M, —C4OB, —C47B and —C47M engines with Goodrich Hydromechanical Unit (HMU) Assemblies are affected by this Bulletin as follows:",Select,Edit,Delete,View
,407-03-59,32,ASB 407-03-59,"All Forward and Aft Crosstube Assemblies, Part Numbers as Described Below, Assignment of RIN (Retirement Index Number) to (Issue Dt: 15-Oct-2003)",SB,15-Oct-2003,ASB 407-03-59,,,0:00, ,"All Model 407 helicopters, S/N 53000 and subsequent.For P/N refer this ASB.",Select,Edit,Delete,View
