part_no,description,part_type,location,min_stock_level,rate,unit,category,serialized_status
230-061-805-106,Duct Assembly,Vendor Part,,0,0,EACH,Expendable,
230-061-821-105,Shim,Vendor Part,,0,0,EACH,Rotable,
230-061-822-101,Hinge,Vendor Part,,0,0,EACH,Repairable,
230-061-831-101,Support,Vendor Part,,0,0,EACH,Expendable,
230-061-831-102,Support,Vendor Part,,0,0,EACH,Expendable,
230-061-832-101,Support,Vendor Part,,0,0,EACH,Expendable,
230-063,"Characters 1/4"",0-9 Stamp Set L/S (1/2"" shank)",Vendor Part,,0,0,EACH,Special Tool,
230-064,"Characters 5/16"",0-9 Stamp Set (1/2"" shank)",Vendor Part,,0,0,EACH,Special Tool,
23006590-01,Nut,Vendor Part,VIB4,0,0,EACH,Expendable,
23006785-02 PAS,WORK AID,Standard Part,,0,0,EACH,Special Tool,
230-069-902-108,Seal,Vendor Part,,0,0,EACH,Expendable,
230-069-902-156,Seal,Vendor Part,,0,0,EACH,Expendable,
230-075-213-111,Decal,Vendor Part,,0,1.8,EACH,Expendable,
23008495-2,Orifice,Vendor Part,,0,0,EACH,Expendable,
23-008C23-13-20,Bushing,Vendor Part,BVIID1,0,0,EACH,Expendable,
23-008C23-15-20,Bushing,Vendor Part,BVIID2,0,0,EACH,Expendable,
23-008C23-18-20,Bushing,Vendor Part,BVD3,0,0,EACH,Expendable,
230-136,Pneumatic Stamp Gun,Vendor Part,,0,0,EACH,Special Tool,
230201AM0100T,Ring Retaining,Vendor Part,,0,0,EACH,Expendable,
230-206,Internal Cylinder Cleaning Whip,Vendor Part,,0,0,EACH,Special Tool,
230-207,Internal Cylinder Cleaning Whip,Vendor Part,,0,0,EACH,Special Tool,
230-210-100-101,Adapter,Standard Part,,0,0,EACH,Special Tool,
230-260-001-105,Tool Topping,Vendor Part,,0,0,EACH,Special Tool,
230-260-002-101,Engine Lifting Tool,Vendor Part,,0,0,EACH,Special Tool,
2302AM017OT,Circlip,Vendor Part,,0,0,EACH,Expendable,
23030169-02 PAS,Guide,Standard Part,,0,0,EACH,Special Tool,
23030911K,Combustion Chamber Outer,Vendor Part,,0,0,EACH,Repairable,
230-312-001-101,Pitch Link Assembly,Vendor Part,,0,0,EACH,Service Life Limit,
23032-027,Starter Generator,Vendor Part,,0,0,EACH,Rotable,
23032-048,Starter Generator,Vendor Part,,0,1050,EACH,Rotable,
23032-1380,"Brush, Starter Generator",Vendor Part,IXD6,0,0,EACH,Expendable,
23032-1586,"Clamp, Starter Generator",Vendor Part,,0,0,EACH,Expendable,
230-325-003-101,Duct,Vendor Part,,0,0,EACH,Expendable,
23032-506,QAD,Vendor Part,,0,0,EACH,Expendable,
23033-1121,Spring,Vendor Part,,0,0,EACH,Expendable,
23033-1141,"Brush, Starter Generator",Vendor Part,,0,0,EACH,Expendable,
23033251F,Relight Assembly,Vendor Part,RS,0,0,EACH,Repairable,
230-360-101-103,Ball Rod End,Vendor Part,,0,0,EACH,Expendable,
230-360-701-103,Actuator,OEM Part,,0,0,EACH,Rotable,
230-361-801-101,Latch,Vendor Part,,0,0,EACH,Expendable,
230-365-001-103,Oil Cooler Assy,Vendor Part,,0,0,EACH,Expendable,
23039030-02,Clamp,Vendor Part,,0,0,EACH,Expendable,
23039030-03,Clamp,Vendor Part,IXB10,1,0,EACH,Expendable,
23039030-04,Clamp,Vendor Part,IIIA6,0,0,EACH,Expendable,
23039030-08,Clamp,Vendor Part,,0,0,EACH,Expendable,
23039030-10,Clamp,Vendor Part,,0,0,EACH,Expendable,
23039030-11,Clamp,Vendor Part,,0,0,EACH,Expendable,
23039030-14,Clamp,Vendor Part,,0,0,EACH,Expendable,
23039030-20,Clamp,Vendor Part,VB7,0,0,EACH,Expendable,
23039030-27,Clamp,Vendor Part,VB7,0,0,EACH,Expendable,
23041-7,Boot Hub,Vendor Part,,0,0,EACH,Expendable,
23046-020,"Starter Generator, DC",Vendor Part,,0,0,EACH,Repairable,
23048-016,Starter Generator,Vendor Part,,0,0,EACH,Rotable,
23048-018,Starter Generator,Vendor Part,,0,0,EACH,Rotable,
23053192AL,Valve Assembly,Vendor Part,XE4,0,1166.98,EACH,Repairable,
23053971-1,Shim,Vendor Part,,0,0,EACH,Expendable,
23053971-2,Shim,Vendor Part,,0,0,EACH,Expendable,
23053971-3,Shim,Vendor Part,,0,0,EACH,Expendable,
23053971-4,Shim,Vendor Part,,0,0,EACH,Expendable,
23059566-136,Packing,Vendor Part,,1,0,EACH,Expendable,
23059566-142,Packing,Vendor Part,,0,0,EACH,Expendable,
23060015-04,"Clamp, Cushioned",Vendor Part,,0,0,EACH,Expendable,
23060015-05,Clamp,Vendor Part,,0,0,EACH,Expendable,
23060015-07,Clamp,Vendor Part,,0,0,EACH,Expendable,
23060015-08,Clamp,Vendor Part,,0,0,EACH,Expendable,
23060015-09,Clamp,Vendor Part,,0,0,EACH,Expendable,
23060015-10,"Clamp, Cushioned",Vendor Part,,0,0,EACH,Expendable,
23060015-11,Clamp,Vendor Part,,0,0,EACH,Expendable,
23060015-13,Clamp,Vendor Part,,0,0,EACH,Expendable,
23060421-1,Shim,Vendor Part,,0,0,EACH,Expendable,
23060421-4,Shim,Vendor Part,,0,0,EACH,Expendable,
23063378,Final testing of ESN CAE-844136 on installation of Outer Combustion Chamber,Vendor Part,,0,0,EACH,Rotable,
23065485-990,Rope,Vendor Part,Q4,0,0,EACH,Expendable,
23065485-990A-FT,Ceramic Rope,Vendor Part,,0,0,FT,Expendable,
2306-556-00-10,"Indicator, Fuel Quantity",Vendor Part,AVIIC,0,1690.28,EACH,Rotable,
2306-557-00-10,"Indicator, Fuel Quantity",Vendor Part,R3,0,0,EACH,Expendable,
230-675-001-103,"Indicator, outside air temp",Vendor Part,,0,0,EACH,Repairable,
23072-1341,Clamp,Vendor Part,,0,0,EACH,Expendable,
23078-019,Starter Generator,Vendor Part,,0,0,EACH,Rotable,
23078029A,HMU,Vendor Part,,0,0,EACH,Expendable,
23080-005,"Generator, Starter",Vendor Part,,0,0,EACH,Rotable,
23080-064,Starter Generator,Vendor Part,,0,0,EACH,Repairable,
23080-1903,"Brush, Starter Generator",Vendor Part,,0,0,EACH,Expendable,
23081-018,Starter Generator,Vendor Part,Store Room,0,0,EACH,Rotable,
23081-023ARX,Starter Generator,Vendor Part,,0,0,EACH,Repairable,
23081-1834,BRUSH STARTER GENERATOR BELL 430,Vendor Part,,0,0,SET,Consumable,
23081-1854,BRUSH STARTER GENERATOR BELL 430,Vendor Part,,0,0,SET,Consumable,
23085-001,"Generator, Starter",Vendor Part,,0,0,EACH,Rotable,
230850-029,Starter Generator,Alternate Part,,0,0,EACH,Repairable,
23085-025,Starter Generator,Vendor Part,,0,0,EACH,Rotable,
23085-029,"Generator, Starter",Vendor Part,,0,0,EACH,Rotable,
23085-1140,Gasket,OEM Part,,0,0,EACH,Expendable,
23093-1300,Brush,Vendor Part,,0,0,EACH,Expendable,
2310-08191-00,"CORK - DK154,.06 THK",Vendor Part,,0,0,FT,Expendable,
