tenant_id,franchise_id ,,code_form_no,ata_code,reference_amp,description,category_code,estimated_man_hours,revision_status,interval_hours,interval_cycles,interval_months,calendar_unit (Enum) 
e42ec6fd-6b88-4721-befe-4443d9743120,,,,5,,Windshield LH and RH and Cockpit Side Windows - AMM 12-A-56-11-01-00A-310A-A and AMM 12-A-56-11-02-00A-310A-A And AMM 12-A-53-10-16-00A-310A-A Inspection kit Windshield P/N 500.50.12.326,ROU*,0,"Supplemental Structural Inspection Program (Examine with windshield and side windows removed) & Repeat at 12,500 H/15,000 L/6 Yrs.",32500:00 H,42000 L,,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,5,,"Main landing gear actuator top and bottom attachment bolts and nuts ,Replace bolt & Nuts",ROU*,0,"Refer to AMM 12- B-32-10-00-00A-310A-A or 12- B-32-10-00-00A-310B-A & AMM 02049 REV 31 , EASA AD No.: 2016-0083, Service letter 186",,,6 Yr,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,5,,Vertical Stabilizer Pitch Trim Actuator Fitting and Attachment - AMM 12-A-55-30-02-00A-353A-A,ROU*,0,"Supplemental Structural Inspection Program (Eddy Current Inspection) & Repeat at 12,500 H/15,000 L",32500:00 H,42000 L,,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,5,,Rear pressure bulk head,ROU*,0,,4000:00 H,,4 Yr,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,5,,Generator 1 & Generator 2 ground points,ROU*,0,Examine the corrosion protective layer,,,2 Yr,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,5,,Cargo door - AMM 12-A-52-30-00-00A-310A-A,ROU*,0,"SUPPLEMENTAL STRUCTURAL INSPECTION PROGRAM(Examine all structural elements) & Repeat at 12,500 H/15,000 L/6 Yrs.",32500:00 H,42000 L,,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,5,,Every 11000 Hours / 120 Months Wing to fuselage attachments Inspection,ROU*,0,,11000:00 H,,120 Mt,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,5,"AMM 12-A-05-40-01-02A-000B-A EMM Ch 72-00-00, Table 601.",Every 300 Hours / 12 Months Inspection,ROU*,0,,300:00 H,,12 Mt,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,5,,Main landing gear - CMM 02099 Inspection kit P/N 500.60.12.027,ROU*,0,"SUPPLEMENTAL STRUCTURAL INSPECTION PROGRAM (Overhaul) & Repeat at 8300Hrs/10,000ldgs/6years",25000:00 H,30000 L,,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,5,,Elevator Control Rods - AMM 12-A-27-00-01-00A-353A-A,ROU*,0,"SUPPLEMENTAL STRUCTURAL INSPECTION PROGRAM (Eddy Current Inspection) & Repeat at 12,500 H/15,000 L",32500:00 H,42000 L,,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,5,AMM 12-A-05-40-01-05A-000B-A,Every 1200 Hours / 12 Months Airframe Inspection,ROU*,0,,1200:00 H,,12 Mt,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,101,,ELT Self Test,SP*,0,,,,1 Mt,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,101,,NSOP Renewal,SP*,0,,,,1 Yr,
e42ec6fd-6b88-4721-befe-4443d9743120,,,,101,,Insurance Renewal,SP*,0,,,,1 Yr,
