EnquiryID,EnquiryNo,CompanyName,NextActionDate,Remarks,Type,CurrentDate,,
269,INQ109970,Armerove Computer,2020-12-17 00:00:00.000,Reminder to be sent on 17th of December,EnquiryDraft,2020-12-13 22:41:53.280,,
270,INQ109971,Arshad Mughal,2020-12-17 00:00:00.000,Reminder to be sent on 17th of December,EnquiryDraft,2020-12-13 22:45:30.700,,
271,INQ109972,Ashem,2020-12-17 00:00:00.000,Reminder to be sent on 17th of December,EnquiryDraft,2020-12-13 22:50:41.547,,
272,INQ109973,Ashers Multimedia,2020-12-17 00:00:00.000,Reminder to be sent on 17th of December,EnquiryDraft,2020-12-13 22:54:37.273,,
273,INQ109974,Ashok Bhagat,2020-12-18 00:00:00.000,Reminder to be sent on18th of December,EnquiryDraft,2020-12-13 23:05:18.657,,
274,INQ109975,ASHRAF OF CANADA,2020-12-18 00:00:00.000,Reminder to be sent on 18th  of december,EnquiryDraft,2020-12-13 23:09:24.873,,
275,INQ109976,ASIANEX,2020-12-18 00:00:00.000,Reminder to be sent on 18th december,EnquiryDraft,2020-12-13 23:38:47.387,,
276,INQ109977,ASIF ABBAS,2020-12-18 00:00:00.000,Reminder to be sent on 18th of December,EnquiryDraft,2020-12-13 23:52:25.910,,
277,INQ109978,ASIM (Power CON),2020-12-18 00:00:00.000,Reminder to be sent on 18th of December,EnquiryDraft,2020-12-14 00:07:25.340,,
278,INQ109979,Asset Lifecycle LLC,2020-12-18 00:00:00.000,reminder to be sent on 18th of December,EnquiryDraft,2020-12-14 00:39:42.780,,
279,INQ109980,"Astrocom Systems LLC,",2020-12-18 00:00:00.000,Reminder to be sent on 18th december,EnquiryDraft,2020-12-14 00:54:18.813,,
280,INQ109981,Asua Al.,2020-12-18 00:00:00.000,reminder to be sent on 18th of december,EnquiryDraft,2020-12-14 00:57:18.353,,
281,INQ109982,Atlantic Metal & Foils Inc.,2020-12-18 00:00:00.000,Reminder to be sent on 18th December,EnquiryDraft,2020-12-14 09:13:25.747,,
282,INQ109983,Atlast,2020-12-18 00:00:00.000,Reminder to be sent on 18th december,EnquiryDraft,2020-12-14 09:26:24.230,,
283,INQ109984,"AUTOMATION.INC,",2020-12-18 00:00:00.000,Reminder to be sent on 18th december,EnquiryDraft,2020-12-14 09:32:48.730,,
284,INQ109985,Avenger Fab & Supply Inc.,2020-12-18 00:00:00.000,Reminder to be sent on 18th of december,EnquiryDraft,2020-12-14 09:46:07.490,,
285,INQ109986,AWA MACHINERY INC,2020-12-18 00:00:00.000,reminder to be sent on 18th December,EnquiryDraft,2020-12-14 09:56:55.437,,
286,INQ109987,Awad,2020-12-18 00:00:00.000,reminder to be sent on 18th december,EnquiryDraft,2020-12-14 10:11:44.233,,
287,INQ109988,Arco Business Solutions Inc.,2020-12-18 00:00:00.000,reminder to be sent on 18th of december,EnquiryDraft,2020-12-14 11:32:39.967,,
288,INQ109989,"AX Healthcare Solution, LLC",2020-12-18 00:00:00.000,reminder to be sent on 18th of december,EnquiryDraft,2020-12-14 11:40:09.413,,
289,INQ1010000,Apex International,2020-12-21 00:00:00.000,REMINDER TO BE SENT ON 21ST OF DECEMBER,EnquiryDraft,2020-12-15 11:43:52.430,,
174,INQ109797,A B L TECHNOLOGY,2021-01-06 00:00:00.000,Called ROdney and emailed him Said he would reach out if something comes up. - TR,EnquiryDraft,2020-12-15 14:28:49.153,,
290,INQ1010009,ARASHIP USA LOGISTICS,2020-12-21 00:00:00.000,REMINDER TO BE SENT ON 21ST OF DECEMBER,EnquiryDraft,2020-12-15 14:55:40.220,,
291,INQ1010010,Atlantic Auto Center,2020-12-21 00:00:00.000,REMINDE TO BE SENT ON 21ST OF DECEMBER,EnquiryDraft,2020-12-15 15:00:47.310,,
175,INQ109798,A & A International Inc.,2021-01-06 00:00:00.000,Called no answer. Sent follow up email - TR. might be out of business.,EnquiryDraft,2020-12-15 15:03:53.937,,
176,INQ109799,A & A GLOBAL,2021-01-06 00:00:00.000,"Brenda is no longer there , email is not relevant, let a voice note for  Steven - TR",EnquiryDraft,2020-12-15 15:19:08.550,,
268,INQ109969,Arif A Al-Ashoor,2021-06-01 00:00:00.000,REMINDER TO BE SENT ON 1ST OF JUNE 2021,EnquiryDraft,2020-12-15 15:24:31.150,,
276,INQ109977,ASIF ABBAS,2021-06-01 00:00:00.000,REMINDER TO BE SENT ON 1 ST OF JUNE 2021,EnquiryDraft,2020-12-15 15:26:33.517,,
279,INQ109980,"Astrocom Systems LLC,",2021-06-01 00:00:00.000,REMINDER TO BE SENT ON 1ST OF JUNE 2021,EnquiryDraft,2020-12-15 15:28:07.250,,
280,INQ109981,Asua Al.,2021-06-01 00:00:00.000,REMINDER TO BE SENT ON 1ST OF JUNE 2021,EnquiryDraft,2020-12-15 15:29:10.573,,
287,INQ109988,Arco Business Solutions Inc.,2021-06-01 00:00:00.000,REMINDER TOBE SENT ON 1ST OF JUNE 2021,EnquiryDraft,2020-12-15 15:31:02.053,,
231,INQ109896,AMZ TRADING INC,2021-06-01 00:00:00.000,REMINDER TO BE SENT ON 1ST JUNE 2021,EnquiryDraft,2020-12-15 15:36:07.860,,
267,INQ109968,American Clothing,2021-06-01 00:00:00.000,REMINDER TO BE SENT  ON 1ST JUNE 2021,EnquiryDraft,2020-12-15 15:38:45.193,,
266,INQ109967,AMA Computer Supply,2021-06-01 00:00:00.000,REMINDER TO BE SENT ON 1ST OF JUNE 2021,EnquiryDraft,2020-12-15 15:39:55.333,,
226,INQ109891,Almurisi Corporation for Agriculture & Poultry,2021-06-01 00:00:00.000,REMINDER TO BE SENT ON 1ST OF JUNE 2021,EnquiryDraft,2020-12-15 15:41:26.833,,
222,INQ109887,ALL GREEN,2021-06-01 00:00:00.000,REMINDER TO BE SENT ON 1ST OF JUNE 2021,EnquiryDraft,2020-12-15 15:50:37.647,,
220,INQ109885,ALL CITY LIMOUSINE,2021-06-01 00:00:00.000,REMINDER TO BE SENT ON 1ST OF JUNE 2021,EnquiryDraft,2020-12-15 15:52:52.670,,
215,INQ109876,Beau Enterprises,2021-06-01 00:00:00.000,REMINDER TO BE SENT ON 1ST OF JUNE 2021,EnquiryDraft,2020-12-15 15:55:26.063,,
202,INQ109856,"Afzal, Farooq",2021-06-01 00:00:00.000,REMINDER TO BE SENT ON 1ST OF JUNE 2021,EnquiryDraft,2020-12-15 15:56:50.100,,
201,INQ109855,AFS Intermodel,2021-06-01 00:00:00.000,REMINDER TO BE SENT ON 1ST OF JUNE 2021,EnquiryDraft,2020-12-15 15:58:05.980,,
292,INQ1010016,AXIS Export Inc,2020-12-21 00:00:00.000,REMINDER TO BE SENT ON 21ST OF DECEMBER,EnquiryDraft,2020-12-15 17:00:08.960,,
293,INQ1010017,Ayman,2020-12-21 00:00:00.000,REMINDER TO BE SENT ON 21ST OF DECEMBER,EnquiryDraft,2020-12-15 17:18:44.117,,
179,INQ109812,A&A Truck Parts,2021-01-05 00:00:00.000,Called and spoke to john. Asked to send an email - TR,EnquiryDraft,2020-12-16 14:43:18.420,,
